P_um,N,I_b_nA,fill,rms_nm,p99_nm,max_nm,mean_nm,n_eval
1.0,32,1.0,1.0,270.92892778645074,369.8995237388727,369.9224747888293,254.74101175393474,400
1.0,32,1.0,0.7,189.95748168413536,267.9399798933949,276.3309426305564,178.52255599368775,4000
1.0,32,1.0,0.5,135.9806968201026,196.01150734672166,204.42598468867757,127.69613532413108,4000
1.0,32,5.0,1.0,1371.4400224522328,1849.4987662468595,1849.6123739441432,1298.39619730232,400
1.0,32,5.0,0.7,962.599848828128,1338.293292178575,1386.2208956277482,910.955243208557,4000
1.0,32,5.0,0.5,697.9580129853324,988.5346595383006,1042.0274868238105,660.6570215667982,4000
1.0,32,10.0,1.0,2723.477861100083,3698.9975324937204,3699.2247478882864,2579.9433317861567,400
1.0,32,10.0,0.7,1954.9542986834751,2720.243387314108,2815.3358759797793,1852.556091356384,4000
1.0,32,10.0,0.5,1366.9662856128618,1961.3530021656122,2086.698965443967,1291.4485639085162,4000
1.0,100,1.0,1.0,859.0664500478897,1185.3398641839035,1185.5392407735249,813.260460858675,400
1.0,100,1.0,0.7,598.502848033359,829.190782567093,843.60227300254,566.8163158160304,4000
1.0,100,1.0,0.5,426.3793849535498,591.450029695543,607.6528393384425,403.7655503614515,4000
1.0,100,5.0,1.0,4244.870891524336,5914.937609277855,5927.696203867587,4025.203176603713,400
1.0,100,5.0,0.7,2980.1046658138057,4150.998860100724,4263.998939434319,2826.16415069037,4000
1.0,100,5.0,0.5,2144.6718911303074,2986.7313983696686,3096.1449030156264,2033.5051655563186,4000
1.0,100,10.0,1.0,8539.89504814418,11854.798180435611,11855.39240773523,8089.193468341787,400
1.0,100,10.0,0.7,5996.175339350503,8343.415534191678,8577.161983943517,5679.0240188043745,4000
1.0,100,10.0,0.5,4292.627509765711,5966.599977402799,6247.743741881095,4065.0534548501773,4000
1.0,316,1.0,1.0,2729.680656514086,3745.499954236704,3776.4898376126152,2580.371144571348,400
1.0,316,1.0,0.7,1909.1037422228699,2627.076580975127,2658.8815177768656,1804.3840927192784,4000
1.0,316,1.0,0.5,1364.0307582980172,1877.7428470801563,1910.9015817491409,1289.0164425513233,4000
1.0,316,5.0,1.0,13850.543149412564,18738.267888117465,18882.449188062914,13159.09244248118,400
1.0,316,5.0,0.7,9698.426639504305,13170.371924168221,13367.138755115568,9212.408190045084,4000
1.0,316,5.0,0.5,6935.512867044824,9416.751031684915,9593.121305859799,6588.956944060298,4000
